cop	version	category	risk	description
Lint/MissingCopEnableDirective	1.88.0	Changes	LOW-rename	Rename inconsistently named cop parameters to follow RuboCop's conventions (the old names are deprecated but still work): `Bundler/GemComment`'s `IgnoredGems` to `AllowedGems`, `Lint/NumberConversion`'s `IgnoredClasses` to `AllowedClasses`, `Lint/MissingCopEnableDirective`'s `MaximumRangeSize` to `MaxRangeSize`, `Metrics/CollectionLiteralLength`'s `LengthThreshold` to `Max`, and `Style/FetchEnvVar`'s `AllowedVars` to `AllowedVariables`.
Lint/MissingCopEnableDirective	1.90.0	Bug fixes	LOW-other	Make `Lint/MissingCopEnableDirective` suggest `# rubocop:pop` instead of `# rubocop:enable` for an unclosed `# rubocop:push`.
Lint/MissingSuper	1.89.0	Changes	LOW-other	Change `Lint/MissingSuper` to skip the constructor offense when the project index shows no ancestor defines `initialize` (`UseProjectIndex`).
Lint/NoReturnInBeginEndBlocks	1.88.0	Bug fixes	MED-fp/fn	Fix false positives in `Lint/EnsureReturn` and `Lint/NoReturnInBeginEndBlocks` for `return` inside a nested method definition or lambda.
Lint/NonLocalExitFromIterator	1.88.0	Bug fixes	MED-fp/fn	Fix a false negative for `Lint/NonLocalExitFromIterator` when the iterator receiver uses safe navigation.
Lint/NumberConversion	1.88.0	Bug fixes	LOW-other	Stop autocorrecting `Lint/NumberConversion` offenses on safe navigation calls.
Lint/NumberConversion	1.88.0	Changes	LOW-rename	Rename inconsistently named cop parameters to follow RuboCop's conventions (the old names are deprecated but still work): `Bundler/GemComment`'s `IgnoredGems` to `AllowedGems`, `Lint/NumberConversion`'s `IgnoredClasses` to `AllowedClasses`, `Lint/MissingCopEnableDirective`'s `MaximumRangeSize` to `MaxRangeSize`, `Metrics/CollectionLiteralLength`'s `LengthThreshold` to `Max`, and `Style/FetchEnvVar`'s `AllowedVars` to `AllowedVariables`.
Lint/NumericOperationWithConstantResult	1.88.0	Bug fixes	HIGH-autocorrect	Fix an incorrect autocorrect for `Lint/NumericOperationWithConstantResult` when using safe navigation, as the result is `nil` when the receiver is `nil`.
Lint/NumericOperationWithConstantResult	1.88.2	Changes	HIGH-autocorrect	Mark `Lint/NumericOperationWithConstantResult` autocorrect as unsafe because it drops the operands, discarding their side effects and silencing cases where the result is not actually constant (e.g. `x / x` raises when `x` is `0`).
Lint/OrderedMagicComments	1.88.0	Bug fixes	MED-fp/fn	Fix a false negative for `Lint/OrderedMagicComments` when an `encoding` magic comment is preceded by a magic comment other than `frozen_string_literal` (e.g. `shareable_constant_value`).
Lint/OrderedMagicComments	1.91.0	Changes	MED-fp/fn	Recognize `warn_indent` as a magic comment. This fixes a false positive for `Layout/EmptyLineAfterMagicComment` and makes `Lint/OrderedMagicComments` and `Style/MagicCommentFormat` aware of it.
Lint/OutOfRangeRegexpRef	1.90.0	Bug fixes	MED-fp/fn	Fix a false negative for `Lint/OutOfRangeRegexpRef` when a preceding element access with a non-string literal argument (e.g. `hash[:key]`) discarded the tracked capture count.
Lint/ParenthesesAsGroupedExpression	1.87.0	Bug fixes	MED-fp/fn	Fix false positives in `Lint/ParenthesesAsGroupedExpression` when the first argument is a call-like expression with its own parentheses, such as `yield(...)`.
Lint/ParenthesesAsGroupedExpression	1.91.0	Bug fixes	HIGH-autocorrect	Fix an incorrect autocorrect for `Lint/ParenthesesAsGroupedExpression` when the parentheses contain `and`, `or`, `not`, or a modifier expression.
Lint/RaiseException	1.88.0	Bug fixes	MED-fp/fn	Fix a false positive for `Lint/RaiseException` when `raise Exception` is used inside a module nested within an allowed implicit namespace (e.g. `Gem`).
Lint/RedundantCopEnableDirective	1.88.0	Bug fixes	HIGH-autocorrect	Fix an incorrect autocorrect for `Lint/RedundantCopDisableDirective` and `Lint/RedundantCopEnableDirective` when a cop name in the directive is a prefix of another cop name in the same directive (e.g. `Lint/AmbiguousOperator` and `Lint/AmbiguousOperatorPrecedence`).
Lint/RedundantCopEnableDirective	1.90.0	New features	LOW-other	Make `Lint/RedundantCopEnableDirective` flag `# rubocop:pop` directives without a matching `# rubocop:push`.
Lint/RedundantCopEnableDirective	1.90.0	Bug fixes	LOW-other	Fix `Lint/RedundantCopDisableDirective` and `Lint/RedundantCopEnableDirective` leaving a directive's `--` reason behind when removing the directive.
Lint/RedundantDirGlobSort	1.88.0	Bug fixes	MED-fp/fn	Fix a false positive for `Lint/RedundantDirGlobSort` when `sort` is given a comparator block or a block-pass argument, which is not redundant with the default sorting.
Lint/RedundantSafeNavigation	1.85.0	Bug fixes	MED-fp/fn	Fix false positive in `Lint/RedundantSafeNavigation` when using `&.respond_to?` with methods defined on `Object` (e.g., `:class`).
Lint/RedundantSafeNavigation	1.86.0	Changes	LOW-other	Make `Lint/RedundantSafeNavigation` aware of safe navigation in conditional true branch.
Lint/RedundantSafeNavigation	1.86.1	Bug fixes	MED-fp/fn	Fix false positive for `Lint/RedundantSafeNavigation` when chained safe navigation is used in a conditional expression with `InferNonNilReceiver` enabled.
Lint/RedundantSafeNavigation	1.86.2	Bug fixes	MED-fp/fn	Fix false positives in `Lint/RedundantSafeNavigation` when safe navigation appears in `rescue` or `ensure` bodies.
Lint/RedundantSafeNavigation	1.86.2	Bug fixes	MED-fp/fn	Fix false positives in `Lint/RedundantSafeNavigation` when safe navigation appears in the body of `unless`.
Lint/RedundantSafeNavigation	1.88.0	Bug fixes	MED-fp/fn	Fix false negatives for `Lint/RedundantSafeNavigation` with `&.respond_to?` on a guaranteed-instance receiver (e.g. `foo.to_s&.respond_to?(:class)`) and with `&.to_h` using a numbered-parameter or `it` block (e.g. `foo&.to_h { _1 } || {}`).
Lint/RedundantSafeNavigation	1.90.0	Bug fixes	MED-fp/fn	Fix false positives in `Lint/RedundantSafeNavigation` when `InferNonNilReceiver` is enabled and the receiver name is rebound by a nested block (`it` or a shadowed block parameter).
Lint/RedundantSplatExpansion	1.88.0	Bug fixes	HIGH-autocorrect	Fix a bad autocorrect for `Lint/RedundantSplatExpansion` when splatting an empty literal (e.g. `when *[]` or `rescue *[]`), which expanded to invalid or semantically different code.
Lint/RedundantWithIndex	1.88.0	Bug fixes	MED-fp/fn	Fix a false negative for `Lint/RedundantWithIndex` when the block takes no arguments (e.g. `ary.each_with_index { do_something }`).
Lint/RedundantWithObject	1.88.0	Changes	HIGH-autocorrect	Make `Lint/RedundantWithObject` autocorrect unsafe, since `each_with_object` returns the memo object while the corrected `each` returns the receiver.
Lint/RefinementImportMethods	1.88.0	Changes	LOW-rename	Add autocorrection to `Lint/RefinementImportMethods` (replacing `include`/`prepend` with `import_methods`) and report that the functionality was removed (not just deprecated) on Ruby 3.2+.
Lint/RegexpAsCondition	1.88.0	Bug fixes	HIGH-autocorrect	Fix a bad autocorrect for `Lint/RegexpAsCondition` when the regexp literal is negated (e.g. `if !/foo/`), which inverted the condition.
Lint/RequireRangeParentheses	1.88.0	Changes	LOW-other	"Reword the `Lint/RequireRangeParentheses` offense message, which incorrectly called the flagged (finite) range ""endless""."
Lint/RequireRelativeSelfPath	1.86.2	Bug fixes	MED-fp/fn	Fix false positives in `Lint/RequireRelativeSelfPath` when a non-`.rb` file uses `require_relative` with its own basename.
Lint/RequireRelativeSelfPath	1.88.0	Bug fixes	MED-fp/fn	Fix a false negative for `Lint/RequireRelativeSelfPath` when requiring the current file by name with its extension (e.g. `require_relative 'foo.rb'`) and the file path is absolute.
Lint/RescueType	1.88.0	Bug fixes	MED-fp/fn	Fix false negatives for `Lint/RescueType` when rescuing from `true`, `false`, a rational literal (`1r`), or a complex literal (`1i`), all of which raise a `TypeError` at runtime.
Lint/SafeNavigationChain	1.86.0	Bug fixes	HIGH-autocorrect	Fix incorrect autocorrection in `Lint/SafeNavigationChain` when chaining a method call after safe navigation in the if branch of a ternary.
Lint/SafeNavigationChain	1.88.0	Bug fixes	MED-fp/fn	Fix a false negative for `Lint/SafeNavigationChain` when an ordinary method is chained after a parenthesized safe navigation call (e.g. `(x&.foo).bar`).
Lint/SafeNavigationChain	1.89.0	Changes	HIGH-autocorrect	Mark `Lint/SafeNavigationChain` autocorrection as unsafe.
Lint/SafeNavigationConsistency	1.85.0	Bug fixes	HIGH-autocorrect	Mark `Lint/SafeNavigationConsistency` autocorrect as unsafe.
Lint/SafeNavigationWithEmpty	1.88.0	Bug fixes	MED-fp/fn	Fix a false negative for `Lint/SafeNavigationWithEmpty` when the receiver of `&.empty?` is a local variable, instance variable, constant, or other non-method-call expression.
Lint/ScriptPermission	1.88.0	Bug fixes	HIGH-crash/hang	Fix `Lint/ScriptPermission` to honor a cop-level `AutoCorrect: false` setting and to not crash on sources without a file on disk (e.g. unsaved editor buffers).
Lint/SelfAssignment	1.88.0	Bug fixes	MED-fp/fn	Fix false negatives for `Lint/SelfAssignment` with `||=` and `&&=` on constants, attributes, and hash keys (e.g. `Foo ||= Foo`, `foo.bar ||= foo.bar`, `hash['foo'] ||= hash['foo']`).
Lint/SendWithMixinArgument	1.88.0	Bug fixes	MED-fp/fn	Fix a false negative for `Lint/SendWithMixinArgument` when `send`/`public_send`/`__send__` is called with no explicit receiver or with a `self` receiver (e.g. `send(:include, Bar)`).
Lint/ShadowingOuterLocalVariable	1.88.0	Bug fixes	MED-fp/fn	Fix a false positive for `Lint/ShadowingOuterLocalVariable` when a block argument has the same name as a pattern variable from a different `in` branch of the same `case`.
Lint/SharedMutableDefault	1.88.0	Bug fixes	MED-fp/fn	Fix false negatives for `Lint/SharedMutableDefault` when a mutable default is combined with a `capacity:` keyword argument and given as an array or `Array.new`/`Hash.new` (e.g. `Hash.new([], capacity: 42)`).
Lint/SuppressedExceptionInNumberConversion	1.88.0	Bug fixes	MED-fp/fn	Fix a false positive for `Lint/SuppressedExceptionInNumberConversion` when the numeric constructor already passes `exception: false` (e.g. `Integer(arg, exception: false) rescue nil`), which also produced an autocorrect with a duplicate `exception: false` keyword.
Lint/SymbolConversion	1.88.0	Bug fixes	HIGH-autocorrect	"Fix a bad autocorrect for `Lint/SymbolConversion` when the receiver is an interpolated string containing an embedded double quote (e.g. `""foo#{bar}\""qux"".to_sym`), which produced a syntax error."
Lint/Syntax	1.86.1	Bug fixes	LOW-other	Fix `Lint/Syntax` zero-length diagnostic range for syntax errors at EOF.
Lint/ToEnumArguments	1.88.0	Bug fixes	MED-fp/fn	Fix a false negative for `Lint/ToEnumArguments` when more positional arguments are passed than the method accepts (e.g. `def m(x); to_enum(:m, x, extra); end`), which raises `ArgumentError` when the enumerator is used.
Lint/ToEnumArguments	1.88.1	Bug fixes	MED-fp/fn	Fix a false negative for `Lint/ToEnumArguments` when a braced hash is passed to keyword parameters (e.g. `to_enum(:m, { required: required })`), which raises `ArgumentError` when the enumerator is used.
Lint/ToEnumArguments	1.89.0	Bug fixes	MED-fp/fn	Fix a false negative for `Lint/ToEnumArguments` when explicit extra keyword arguments are passed (e.g. `def m(x:); to_enum(:m, x: x, y: 1); end`), which raises `ArgumentError` when the enumerator is used.
Lint/ToJSON	1.88.2	Bug fixes	MED-fp/fn	Fix a false negative for `Lint/ToJSON`, which did not flag singleton `def self.to_json` definitions.
Lint/ToJSON	1.88.2	Bug fixes	HIGH-autocorrect	Fix an incorrect autocorrect for `Lint/ToJSON` that produced invalid Ruby (`def to_json(*_args)()`) when the method had explicit empty parentheses.
Lint/TopLevelReturnWithArgument	1.88.0	Bug fixes	MED-fp/fn	Fix a false positive for `Lint/TopLevelReturnWithArgument` when a `return` with an argument is inside a numbered-parameter block or an `it` block.
Lint/TrailingCommaInAttributeDeclaration	1.88.0	Bug fixes	HIGH-crash/hang	Fix `Lint/TrailingCommaInAttributeDeclaration` to detect a trailing comma before a singleton method definition (e.g. `def self.bar`) and to not crash when a `def` is the sole argument (e.g. `attr_reader def bar; end`).
Lint/UnescapedBracketInRegexp	1.88.0	Bug fixes	MED-fp/fn	Fix a false negative for `Lint/UnescapedBracketInRegexp` when an unescaped `]` is preceded by an escaped backslash (e.g. `/abc\\]123/`).
Lint/UnescapedBracketInRegexp	1.88.1	Bug fixes	MED-fp/fn	Fix a false positive for `Lint/UnescapedBracketInRegexp` when a character class starts with a bare `]` (e.g. `/[^]]/`).
Lint/UnreachableCode	1.88.0	Changes	LOW-other	Reword cop descriptions that did not start with a verb (e.g. `Lint/UnreachableCode`, `Metrics/AbcSize`, `Security/Eval`) for consistency.
Lint/UnreachableCode	1.88.2	Bug fixes	MED-fp/fn	Fix a false negative for `Lint/UnreachableCode`, which only flagged the first statement after a flow-of-control statement instead of every unreachable statement that followed it.
Lint/UnusedMethodArgument	1.86.1	Bug fixes	MED-fp/fn	Fix `Lint/UnusedMethodArgument` false positive when block argument is used via `yield`.
Lint/UselessConstantScoping	1.86.0	Bug fixes	LOW-other	Support files with multiple modifiers in `Lint/UselessConstantScoping`.
Lint/UselessConstantScoping	1.90.0	Bug fixes	MED-fp/fn	Fix false positives for `Lint/UselessConstantScoping` when assigning with `Class.new`, `Module.new`, `Struct.new`, or `Data.define` after `private`.
Lint/UselessDefaultValueArgument	1.86.0	Bug fixes	HIGH-crash/hang	Fix an error for `Lint/UselessDefaultValueArgument` when `fetch` without a receiver is inside a `fetch` block.
Lint/UselessMethodDefinition	1.90.0	Bug fixes	MED-fp/fn	Fix `Lint/UselessMethodDefinition` false positive for methods with `**kwargs`.
Lint/UselessNumericOperation	1.88.2	Bug fixes	MED-fp/fn	Fix a false negative for `Lint/UselessNumericOperation`, which only flagged bare method-call receivers and ignored local variables, instance/class/global variables, and constants (e.g. `@x + 0`, `CONST * 1`).
Lint/UselessRuby2Keywords	1.88.0	Bug fixes	MED-fp/fn	Fix a false positive for `Lint/UselessRuby2Keywords` when `ruby2_keywords` in a nested class or module refers to a method of the same name defined in an outer scope.
Lint/UselessRuby2Keywords	1.89.0	Bug fixes	HIGH-crash/hang	Fix an error for `Lint/UselessRuby2Keywords` when `ruby2_keywords` is used with a symbol but no method definition is found.
Lint/UselessSetterCall	1.88.0	Bug fixes	MED-fp/fn	Fix a false positive for `Lint/UselessSetterCall` when a multiple assignment uses nested destructuring (e.g. `(a, b), c = arg, other_arg`), which misaligned variables with the right-hand side values.
Lint/UselessTimes	1.88.0	Bug fixes	HIGH-autocorrect	Fix an incorrect autocorrect for `Lint/UselessTimes` when a `1.times` block takes a single destructured (`|(a, b)|`) or splat (`|*a|`) argument, which produced a body referencing an undefined variable.
Lint/UselessTimes	1.88.0	Bug fixes	HIGH-autocorrect	Fix incorrect autocorrects for `Lint/UselessTimes` when the `times` block uses `next`/`break` (which became a syntax error) or takes multiple block arguments (which became undefined references).
Lint/Void	1.85.0	Bug fixes	MED-fp/fn	Fix a false positive for `Lint/Void` when `nil` is used in `case` branch.
Lint/Void	1.85.0	Bug fixes	MED-fp/fn	Fix false positives in `Lint/Void` for `each` blocks where the return value may be meaningful (e.g., `Enumerator#each`).
Lint/Void	1.85.0	Bug fixes	LOW-other	Fix `Lint/Void` to detect void expressions in `case`/`when` branches.
Lint/Void	1.88.2	Bug fixes	MED-fp/fn	Fix a false negative for `Lint/Void` where safe-navigation calls to nonmutating methods (e.g. `x&.sort`) were not flagged when `CheckForMethodsWithNoSideEffects` is enabled.
Lint/Void	1.89.0	Bug fixes	MED-fp/fn	Fix a false positive for `Lint/Void` with setter methods.
Lint/Void	1.89.0	Bug fixes	LOW-other	Fix `Lint/Void` to no longer autocorrect a constant used in a void context, since removing it can change behavior through constant autoloading side effects.
Metrics/AbcSize	1.88.0	Changes	LOW-other	Reword cop descriptions that did not start with a verb (e.g. `Lint/UnreachableCode`, `Metrics/AbcSize`, `Security/Eval`) for consistency.
Metrics/AbcSize	1.91.0	Changes	LOW-other	Disable `Metrics/MethodLength`, `Metrics/AbcSize`, `Metrics/ClassLength`, `Metrics/ModuleLength`, `Metrics/CyclomaticComplexity`, `Metrics/PerceivedComplexity`, `Metrics/BlockLength`, `Metrics/ParameterLists` and `Metrics/BlockNesting` under `Preview`, ahead of them being disabled by default in RuboCop 2.0.
Metrics/BlockLength	1.91.0	Changes	LOW-other	Disable `Metrics/MethodLength`, `Metrics/AbcSize`, `Metrics/ClassLength`, `Metrics/ModuleLength`, `Metrics/CyclomaticComplexity`, `Metrics/PerceivedComplexity`, `Metrics/BlockLength`, `Metrics/ParameterLists` and `Metrics/BlockNesting` under `Preview`, ahead of them being disabled by default in RuboCop 2.0.
Metrics/BlockNesting	1.91.0	Changes	LOW-other	Disable `Metrics/MethodLength`, `Metrics/AbcSize`, `Metrics/ClassLength`, `Metrics/ModuleLength`, `Metrics/CyclomaticComplexity`, `Metrics/PerceivedComplexity`, `Metrics/BlockLength`, `Metrics/ParameterLists` and `Metrics/BlockNesting` under `Preview`, ahead of them being disabled by default in RuboCop 2.0.
Metrics/ClassLength	1.91.0	Changes	LOW-other	Disable `Metrics/MethodLength`, `Metrics/AbcSize`, `Metrics/ClassLength`, `Metrics/ModuleLength`, `Metrics/CyclomaticComplexity`, `Metrics/PerceivedComplexity`, `Metrics/BlockLength`, `Metrics/ParameterLists` and `Metrics/BlockNesting` under `Preview`, ahead of them being disabled by default in RuboCop 2.0.
Metrics/CollectionLiteralLength	1.88.0	Changes	LOW-rename	Rename inconsistently named cop parameters to follow RuboCop's conventions (the old names are deprecated but still work): `Bundler/GemComment`'s `IgnoredGems` to `AllowedGems`, `Lint/NumberConversion`'s `IgnoredClasses` to `AllowedClasses`, `Lint/MissingCopEnableDirective`'s `MaximumRangeSize` to `MaxRangeSize`, `Metrics/CollectionLiteralLength`'s `LengthThreshold` to `Max`, and `Style/FetchEnvVar`'s `AllowedVars` to `AllowedVariables`.
Metrics/CyclomaticComplexity	1.91.0	Changes	LOW-other	Disable `Metrics/MethodLength`, `Metrics/AbcSize`, `Metrics/ClassLength`, `Metrics/ModuleLength`, `Metrics/CyclomaticComplexity`, `Metrics/PerceivedComplexity`, `Metrics/BlockLength`, `Metrics/ParameterLists` and `Metrics/BlockNesting` under `Preview`, ahead of them being disabled by default in RuboCop 2.0.
Metrics/MethodLength	1.88.1	Bug fixes	HIGH-crash/hang	Fix a crash for `Metrics/MethodLength` with an anonymous `define_method`.
Metrics/MethodLength	1.89.0	Bug fixes	HIGH-crash/hang	Fix an error for `Metrics/MethodLength` when a method contains a heredoc and `__ENCODING__`.
Metrics/MethodLength	1.91.0	Changes	LOW-other	Disable `Metrics/MethodLength`, `Metrics/AbcSize`, `Metrics/ClassLength`, `Metrics/ModuleLength`, `Metrics/CyclomaticComplexity`, `Metrics/PerceivedComplexity`, `Metrics/BlockLength`, `Metrics/ParameterLists` and `Metrics/BlockNesting` under `Preview`, ahead of them being disabled by default in RuboCop 2.0.
Metrics/ModuleLength	1.91.0	Changes	LOW-other	Disable `Metrics/MethodLength`, `Metrics/AbcSize`, `Metrics/ClassLength`, `Metrics/ModuleLength`, `Metrics/CyclomaticComplexity`, `Metrics/PerceivedComplexity`, `Metrics/BlockLength`, `Metrics/ParameterLists` and `Metrics/BlockNesting` under `Preview`, ahead of them being disabled by default in RuboCop 2.0.
Metrics/ParameterLists	1.91.0	Changes	LOW-other	Disable `Metrics/MethodLength`, `Metrics/AbcSize`, `Metrics/ClassLength`, `Metrics/ModuleLength`, `Metrics/CyclomaticComplexity`, `Metrics/PerceivedComplexity`, `Metrics/BlockLength`, `Metrics/ParameterLists` and `Metrics/BlockNesting` under `Preview`, ahead of them being disabled by default in RuboCop 2.0.
Metrics/PerceivedComplexity	1.88.1	Changes	LOW-other	Update `Metrics/PerceivedComplexity` to weight simple `case`/`in` pattern branches the same as `case`/`when` branches.
Metrics/PerceivedComplexity	1.91.0	Changes	LOW-other	Disable `Metrics/MethodLength`, `Metrics/AbcSize`, `Metrics/ClassLength`, `Metrics/ModuleLength`, `Metrics/CyclomaticComplexity`, `Metrics/PerceivedComplexity`, `Metrics/BlockLength`, `Metrics/ParameterLists` and `Metrics/BlockNesting` under `Preview`, ahead of them being disabled by default in RuboCop 2.0.
Naming/AccessorMethodName	1.89.0	Bug fixes	MED-fp/fn	Fix false positives for `Naming/PredicatePrefix` and `Naming/AccessorMethodName` when the method overrides an ancestor method defined in the project (`UseProjectIndex`).
Naming/BinaryOperatorParameterName	1.90.0	Bug fixes	HIGH-autocorrect	Fix an incorrect autocorrect for `Naming/BinaryOperatorParameterName`.
Naming/BlockForwarding	1.91.0	Bug fixes	HIGH-autocorrect	Fix an incorrect autocorrect for `Naming/BlockForwarding` with `Style/MethodDefParentheses`.
Naming/FileName	1.88.1	Bug fixes	MED-fp/fn	Fix a false positive for `Naming/FileName` when a class or module name contains multiple consecutive `AllowedAcronyms`.
Naming/HeredocDelimiterNaming	1.91.0	Changes	LOW-other	Disable `Style/IfUnlessModifier`, `Style/GuardClause`, `Style/Next`, `Style/ClassAndModuleChildren`, `Style/DoubleNegation`, `Style/NumericPredicate`, `Style/SpecialGlobalVars`, `Style/PerlBackrefs`, `Style/FrozenStringLiteralComment`, `Style/FormatStringToken`, `Style/FormatString`, `Style/RegexpLiteral`, `Style/SignalException`, `Style/Lambda`, `Style/ParallelAssignment`, `Style/RaiseArgs`, `Style/ModuleFunction`, `Style/BlockDelimiters`, `Style/NumericLiterals`, `Style/NegatedIf`, `Naming/VariableNumber`, `Naming/HeredocDelimiterNaming`, `Layout/EmptyLineAfterGuardClause` and `Bundler/OrderedGems` under `Preview`, ahead of them being disabled by default in RuboCop 2.0.
Naming/InclusiveLanguage	1.88.1	Bug fixes	HIGH-crash/hang	Fix a crash for `Naming/InclusiveLanguage` with nil or empty `FlaggedTerms`.
Naming/MemoizedInstanceVariableName	1.88.1	Bug fixes	HIGH-autocorrect	Fix an incorrect autocorrect for `Naming/MemoizedInstanceVariableName`.
Naming/PredicatePrefix	1.89.0	Bug fixes	MED-fp/fn	Fix false positives for `Naming/PredicatePrefix` and `Naming/AccessorMethodName` when the method overrides an ancestor method defined in the project (`UseProjectIndex`).
Naming/RescuedExceptionsVariableName	1.88.1	Bug fixes	HIGH-autocorrect	Fix an incorrect autocorrect for `Naming/RescuedExceptionsVariableName`.
Naming/VariableNumber	1.89.0	Bug fixes	MED-fp/fn	Fix a false positive for `Naming/VariableNumber` when using an empty symbol hash key.
Naming/VariableNumber	1.91.0	Changes	LOW-other	Disable `Style/IfUnlessModifier`, `Style/GuardClause`, `Style/Next`, `Style/ClassAndModuleChildren`, `Style/DoubleNegation`, `Style/NumericPredicate`, `Style/SpecialGlobalVars`, `Style/PerlBackrefs`, `Style/FrozenStringLiteralComment`, `Style/FormatStringToken`, `Style/FormatString`, `Style/RegexpLiteral`, `Style/SignalException`, `Style/Lambda`, `Style/ParallelAssignment`, `Style/RaiseArgs`, `Style/ModuleFunction`, `Style/BlockDelimiters`, `Style/NumericLiterals`, `Style/NegatedIf`, `Naming/VariableNumber`, `Naming/HeredocDelimiterNaming`, `Layout/EmptyLineAfterGuardClause` and `Bundler/OrderedGems` under `Preview`, ahead of them being disabled by default in RuboCop 2.0.
Security/Eval	1.88.0	Changes	LOW-other	Reword cop descriptions that did not start with a verb (e.g. `Lint/UnreachableCode`, `Metrics/AbcSize`, `Security/Eval`) for consistency.
Security/IoMethods	1.88.1	Bug fixes	HIGH-crash/hang	Fix a crash for `Security/IoMethods` with a non-string-literal argument.
Security/MarshalLoad	1.88.1	Bug fixes	MED-fp/fn	Fix a false negative for `Security/MarshalLoad` with a proc argument.
Style/AccessModifierDeclarations	1.86.1	Bug fixes	LOW-other	Fix `Style/AccessModifierDeclarations` inline autocorrect dropping comments between the access modifier and the following method definition.
Style/AccessModifierDeclarations	1.91.0	Bug fixes	HIGH-crash/hang	Fix an error for `Style/AccessModifierDeclarations` when a body repeats the same access modifier.
Style/AccessModifierDeclarations	1.91.0	Bug fixes	HIGH-crash/hang	Fix an error for `Style/AccessModifierDeclarations` with `EnforcedStyle: inline` when an access modifier is the body of an `if` without an `else` branch.
Style/AccessorGrouping	1.88.1	Bug fixes	LOW-other	Fix comment duplication for `Style/AccessorGrouping` with a single-line trailing comment.
Style/Alias	1.87.0	Bug fixes	HIGH-autocorrect	Fix incorrect autocorrect for `Style/Alias` causing a syntax error when the return value of `alias_method` is used, such as an argument to `public`, `private`, `protected`, or `module_function`, or the right-hand side of an assignment.
Style/Alias	1.88.0	Bug fixes	MED-fp/fn	Fix `Style/Alias` not detecting block scope for numbered-parameter and `it` blocks, which caused a false positive for `alias_method` and a false negative for `alias` inside such blocks.
Style/Alias	1.91.0	Changes	LOW-other	Set the community-preferred `EnforcedStyle` of `Style/StringLiterals`, `Style/StringLiteralsInInterpolation`, `Layout/CaseIndentation`, `Layout/EndAlignment`, `Layout/MultilineMethodCallIndentation`, `Layout/MultilineOperationIndentation`, `Layout/FirstHashElementIndentation`, `Layout/FirstArrayElementIndentation`, `Layout/ParameterAlignment`, `Layout/ArgumentAlignment`, `Style/EmptyMethod`, `Style/Alias`, `Style/RescueStandardError` and `Style/TernaryParentheses` under `Preview`, ahead of them becoming the defaults in RuboCop 2.0.
Style/AndOr	1.86.0	Bug fixes	LOW-other	Fix `Style/AndOr` adding unnecessary parentheses around `return` without arguments.
Style/AndOr	1.88.0	Bug fixes	HIGH-autocorrect	Fix an incorrect autocorrect for `Style/AndOr` when an operand is `next`, `break`, or `yield` with an argument (e.g. `foo and next 1`), which produced invalid Ruby like `foo && next 1`.
Style/ArgumentsForwarding	1.88.2	Bug fixes	HIGH-autocorrect	Fix an incorrect autocorrect for `Style/ArgumentsForwarding` and `Style/MethodDefParentheses` when autocorrection conflicts while adding parentheses to method definition arguments.
Style/ArrayFirstLast	1.88.0	Bug fixes	HIGH-autocorrect	Fix an incorrect autocorrect for `Style/ArrayFirstLast` when `arr[0]`/`arr[-1]` is the target of a compound assignment (e.g. `arr[0] += 1`), which produced `arr.first += 1` and raised `NoMethodError`.
Style/ArrayIntersect	1.88.0	Bug fixes	HIGH-autocorrect	Fix an incorrect autocorrect for `Style/ArrayIntersect` where a negated predicate on a safe-navigation chain (e.g. `a&.intersection(b)&.none?`) was rewritten to `!a&.intersect?(b)`, flipping the result when the receiver is `nil`.
Style/ArrayIntersect	1.88.2	Bug fixes	MED-fp/fn	Fix a false negative for `Style/ArrayIntersect` with the block form using `include?` (e.g. `array1.any? { |e| array2.include?(e) }`), which was only detected for `member?`.
Style/ArrayIntersect	1.89.0	Bug fixes	HIGH-crash/hang	Fix an error for `Style/ArrayIntersect` cop when the block-based check calls `member?`/`include?` without an explicit receiver.
Style/ArrayIntersect	1.89.0	Bug fixes	HIGH-autocorrect	Fix an incorrect autocorrect for `Style/ArrayIntersect` when using safe navigation `none?` with a block.
Style/ArrayIntersect	1.89.0	Bug fixes	MED-fp/fn	Fix false positives in `Style/ArrayIntersect` when the receiver of `include?` in a block is not an array literal.
Style/ArrayIntersectWithSingleElement	1.88.0	Bug fixes	MED-fp/fn	Fix a false positive for `Style/ArrayIntersectWithSingleElement` with a splat argument (e.g. `array.intersect?([*foo])`), which is not a single element and was incorrectly rewritten to `array.include?(*foo)`.
Style/BlockDelimiters	1.88.0	Bug fixes	HIGH-autocorrect	Fix an incorrect autocorrect for `Style/BlockDelimiters` that converted a single-line `do...end` block containing a block-level `rescue` or `ensure` to `{...}`, producing invalid Ruby.
